passenger1,passenger2,flightsTogether
755,762,6
730,768,6
709,733,6
706,762,6
760,766,6
2183,2199,6
255,275,6
1013,1031,6
366,772,6
368,395,6
334,354,6
768,792,6
701,791,6
374,392,6
704,746,6
704,771,6
1013,1053,6
764,766,6
334,395,6
704,709,6
724,762,6
752,1056,6
366,724,6
354,368,6
704,764,6
733,791,6
730,797,6
752,761,6
746,764,6
766,771,6
752,764,6
755,1056,6
248,274,6
255,293,6
791,797,6
766,797,6
752,1023,6
730,752,6
751,766,6
364,752,6
740,1056,6
762,797,6
724,797,6
739,764,6
763,766,6
709,762,6
364,739,6
2178,2199,6
293,299,6
355,364,6
739,797,6
328,395,6
766,768,6
2152,2153,6
760,768,6
1023,1057,6
762,766,6
709,730,6
274,293,6
760,761,6
334,374,6
746,792,6
374,746,6
360,366,6
763,768,6
2175,2199,6
759,792,6
739,1053,6
362,366,6
764,797,6
374,724,6
752,1001,6
759,1095,6
763,764,6
762,763,6
328,368,6
374,760,6
746,1056,6
364,755,6
2153,2197,6
739,761,6
709,772,6
366,752,6
764,768,6
716,730,6
706,716,6
1031,1057,6
2178,2186,6
650,684,6
730,761,6
704,706,6
701,730,6
739,1095,6
739,766,6
366,740,6
1057,1095,6
366,755,6
391,398,6
1031,1053,6
374,751,6
709,755,6
760,1056,6
360,362,6
706,772,6
746,762,6
751,768,6
2186,2199,6
366,392,6
334,366,6
761,791,6
761,771,6
752,1053,6
704,762,6
706,746,6
751,762,6
706,792,6
709,751,6
724,1056,6
334,362,6
716,762,6
740,797,6
701,797,6
706,768,6
716,764,6
366,716,6
366,739,6
212,276,6
360,374,6
762,768,6
772,791,6
1001,1013,6
374,752,6
706,764,6
730,766,6
392,395,6
709,792,6
274,275,6
374,395,6
706,759,6
730,764,6
328,366,6
368,755,6
248,255,6
2175,2183,6
704,739,6
704,766,6
766,791,6
772,1056,6
704,759,6
704,797,6
771,792,6
740,791,6
704,752,6
755,768,6
328,362,6
215,274,6
704,755,6
755,1001,6
1029,1031,6
771,1095,6
704,751,6
706,733,6
355,360,6
709,760,6
701,761,6
759,1053,6
275,293,6
730,792,6
751,791,6
709,766,6
362,368,6
