passenger1,passenger2,flightsTogether
716,724,9
701,751,9
1001,1023,9
746,763,9
724,763,9
760,763,9
1023,1095,9
724,740,9
740,772,9
740,746,9
751,760,9
701,763,9
724,746,9
740,763,9
724,760,9
740,751,9
751,763,9
716,763,9
746,751,9
716,740,9
701,724,9
724,751,9
746,772,9
1023,1053,9
701,746,9
701,716,9
1053,1095,9
751,772,9
701,740,9
760,772,9
716,751,9
1001,1095,9
716,760,9
746,760,9
724,772,9
716,772,9
740,760,9
763,772,9
1001,1053,9
701,772,9
364,368,9
716,746,9
701,760,9
733,752,8
739,752,8
752,760,8
733,771,8
739,763,8
752,759,8
739,755,8
740,771,8
368,1023,8
364,374,8
701,771,8
771,772,8
701,755,8
733,755,8
746,755,8
364,1001,8
739,771,8
759,771,8
740,759,8
733,763,8
739,760,8
724,759,8
733,772,8
364,1053,8
733,739,8
366,374,8
755,760,8
733,746,8
739,772,8
752,755,8
759,763,8
701,733,8
368,1001,8
752,772,8
739,759,8
733,740,8
716,759,8
751,752,8
368,1053,8
739,746,8
1023,1056,8
746,752,8
739,740,8
364,1023,8
724,755,8
752,763,8
759,760,8
724,733,8
1053,1056,8
751,771,8
1056,1095,8
368,1095,8
366,368,8
733,759,8
746,771,8
751,759,8
724,752,8
364,366,8
755,771,8
755,763,8
701,752,8
701,739,8
763,771,8
733,760,8
759,772,8
701,759,8
716,752,8
716,739,8
716,755,8
740,755,8
716,733,8
739,751,8
755,759,8
751,755,8
724,771,8
724,739,8
760,771,8
746,759,8
1001,1056,8
368,374,8
364,1095,8
740,752,8
755,772,8
716,771,8
733,751,8
752,771,8
763,1095,7
368,751,7
746,1001,7
374,1056,7
751,1053,7
760,1053,7
724,1053,7
364,746,7
368,701,7
364,760,7
364,1056,7
364,724,7
763,1053,7
746,1095,7
740,1023,7
724,1001,7
366,1023,7
374,1001,7
364,763,7
746,1053,7
740,1095,7
374,1053,7
751,1095,7
368,772,7
740,1001,7
364,740,7
751,1023,7
701,1053,7
772,1001,7
368,716,7
772,1053,7
716,1023,7
724,1095,7
772,1023,7
701,1001,7
374,1023,7
751,1001,7
772,1095,7
368,763,7
366,1053,7
701,1023,7
716,1095,7
724,1023,7
366,1001,7
760,1023,7
368,760,7
716,1053,7
364,701,7
746,1023,7
368,724,7
701,1095,7
366,1095,7
366,1056,7
763,1001,7
760,1095,7
740,1053,7
364,716,7
763,1023,7
368,1056,7
760,1001,7
374,1095,7
368,740,7
368,746,7
364,751,7
716,1001,7
364,772,7
