passengerId,longestRun
3794,12
1025,12
4190,12
1143,12
2776,12
2231,12
3913,12
2156,12
1888,12
4097,12
1468,12
368,12
3152,12
11450,12
126,12
4917,12
1201,12
1772,12
1826,12
8132,12
4700,12
9700,12
8411,12
606,12
3370,12
4538,12
5764,12
253,12
6030,12
1046,12
223,12
860,12
2090,12
3859,12
1775,12
3519,12
926,12
4397,12
3963,12
4070,12
9077,12
3920,12
5787,12
6339,12
416,12
1613,12
6067,12
4451,12
6382,12
2941,12
363,12
2138,12
674,12
9752,12
274,12
8121,12
8562,12
1155,12
7793,12
2911,12
4220,12
1218,12
1646,12
4993,12
5120,12
4012,12
1538,12
2653,12
3709,12
4166,12
4852,12
4399,12
5096,12
1029,12
3702,12
3364,12
5010,12
8702,12
3249,12
2197,12
9202,12
7682,12
9369,12
1314,12
3332,12
4416,12
6289,12
262,12
1946,12
3527,12
5876,12
366,12
4353,12
8510,12
3410,12
9098,12
1108,12
3773,12
9069,12
2861,12
3779,12
5997,12
4983,12
7433,12
381,12
8552,12
3875,12
1386,12
485,12
456,12
1272,12
441,12
7685,12
4020,12
2159,12
7209,12
2030,12
7825,12
3292,12
3002,12
6857,12
637,12
2272,12
446,12
1498,12
10446,12
3169,12
2277,12
3356,12
649,12
443,12
7508,12
4329,12
5615,12
7526,12
928,12
10004,12
1230,12
9101,12
2851,12
7463,12
5798,12
7540,12
8348,12
3343,12
2482,12
5922,12
8461,12
9540,12
1333,12
364,12
3297,12
4473,12
9997,12
289,12
356,12
10454,12
6758,12
9688,12
4554,12
5958,12
8197,12
1709,12
3560,12
6823,12
1853,12
4053,12
4069,12
5479,12
7336,12
2201,12
3716,12
4972,12
1782,12
3307,12
75,12
7851,12
4339,12
8735,12
859,12
2432,12
8988,12
1023,12
5116,12
2503,12
2550,12
4990,12
7373,12
611,12
10229,12
3735,12
3178,12
7801,12
1472,12
4152,12
8956,12
10478,12
8017,12
10196,12
11957,12
2303,12
2773,12
2411,12
4468,12
3665,12
5377,12
5414,12
5491,12
135,12
2124,12
6575,12
2162,12
3536,12
5734,12
9665,12
3880,12
905,12
1004,12
5873,12
7636,12
2869,12
5533,12
7643,12
1371,12
2446,12
8320,12
3491,12
2325,12
311,12
10085,12
4677,12
1338,12
2500,12
4019,12
4430,12
11166,12
8871,12
1762,12
2501,12
2626,12
8235,12
1424,12
7747,12
7811,12
7565,12
9532,12
4178,12
4607,12
7505,12
954,12
9460,12
