passengerId,longestRun
6397,2
6620,2
10362,2
10817,2
11748,2
13832,2
14450,2
14832,2
6623,2
9564,2
10081,2
11500,2
12367,2
12611,2
12626,2
12715,2
14148,2
14423,2
14876,2
15003,2
15004,2
15100,2
15254,2
31,2
7281,2
9162,2
9558,2
11936,2
12393,2
12998,2
13207,2
14289,2
14324,2
14377,2
14420,2
14837,2
14997,2
15296,2
85,2
2025,2
8779,2
9169,2
12366,2
13465,2
14315,2
14809,2
14958,2
15382,2
9597,2
10840,2
11482,2
11928,2
12249,2
12322,2
14944,2
15292,2
3790,2
7404,2
8701,2
9181,2
10090,2
12207,2
13500,2
14054,2
14124,2
14365,2
14458,2
14846,2
14874,2
15026,2
15221,2
11402,2
11459,2
11487,2
13313,2
13544,2
14245,2
14284,2
14477,2
14812,2
15216,2
6378,2
7283,2
10183,2
10366,2
10947,2
12238,2
13701,2
14556,2
10195,2
10293,2
10912,2
11405,2
11468,2
12315,2
13022,2
14437,2
15091,2
15270,2
6913,2
14085,2
155,2
2606,2
8458,2
8755,2
10898,2
12943,2
14332,2
14589,2
14801,2
15093,2
15202,2
2888,2
6639,2
8354,2
10290,2
11941,2
12796,2
12837,2
12854,2
13066,2
13368,2
14336,2
14935,2
115,2
6933,2
11708,2
12267,2
13377,2
13782,2
14410,2
14999,2
81,2
8412,2
10096,2
12287,2
13027,2
14180,2
14402,2
14555,2
15060,2
15253,2
15398,2
2052,2
11467,2
12961,2
14117,2
14160,2
14283,2
14687,2
14814,2
15234,2
8622,2
11693,2
12269,2
12453,2
12548,2
12885,2
12913,2
13371,2
14141,2
14177,2
14302,2
2386,2
5845,2
5880,2
5884,2
12914,2
13052,2
14419,2
14455,2
15024,2
15062,2
15219,2
15242,2
15260,2
15262,2
3795,2
6300,2
10866,2
11494,2
12865,2
12926,2
13301,2
13523,2
14062,2
14192,2
14318,2
15073,2
15263,2
15370,2
2871,2
3252,2
8608,2
9161,2
10861,2
11204,2
11406,2
13040,2
13051,2
13081,2
14140,2
14274,2
3270,2
5875,2
6948,2
11624,2
11997,2
13331,2
13347,2
14961,2
15051,2
2331,2
5823,2
8438,2
9165,2
11626,2
11677,2
12337,2
12951,2
14287,2
14333,2
14337,2
14391,2
14808,2
14888,2
15040,2
15083,2
15363,2
44,2
192,2
6988,2
8415,2
9106,2
9147,2
9547,2
14345,2
14871,2
15108,2
15224,2
15267,2
2804,2
7258,2
9126,2
9514,2
10309,2
11240,2
13422,2
14193,2
14292,2
14565,2
14813,2
7239,2
10092,2
11259,2
11260,2
11475,2
12873,2
14102,2
14105,2
14462,2
3228,2
9103,2
13312,2
14575,2
14830,2
14917,2
3792,2
6254,2
7304,2
8460,2
10135,2
10251,2
10845,2
10864,2
12219,2
14831,2
15228,2
15386,2
5897,2
6717,2
9178,2
14370,2
14598,2
14860,2
6629,2
7032,2
8419,2
11461,2
12368,2
12889,2
14351,2
14513,2
14824,2
14904,2
14945,2
15085,2
6606,2
11441,2
11975,2
12639,2
13344,2
13589,2
14327,2
14608,2
14977,2
15305,2
15359,2
3240,2
8780,2
9193,2
10823,2
11437,2
11491,2
12965,2
14870,2
15029,2
6273,2
10049,2
10209,2
12894,2
12962,2
12980,2
14035,2
14328,2
14415,2
15283,2
2013,2
2828,2
7731,2
7989,2
9573,2
10635,2
12888,2
13439,2
13517,2
14139,2
14436,2
14453,2
14474,2
15330,2
10007,2
12972,2
14197,2
14564,2
15046,2
15097,2
1588,2
6744,2
9566,2
10286,2
12467,2
13374,2
13531,2
13575,2
14230,2
14534,2
14538,2
14828,2
14975,2
15014,2
15388,2
9571,2
10070,2
11445,2
11476,2
11493,2
12857,2
13303,2
14040,2
14154,2
14210,2
14257,2
14656,2
14833,2
15034,2
15159,2
15199,2
15252,2
6690,2
7970,2
9110,2
9189,2
9588,2
10124,2
12459,2
12870,2
13339,2
14407,2
14638,2
14861,2
14862,2
15333,2
15347,2
140,2
2037,2
6941,2
9123,2
11444,2
12279,2
12750,2
12770,2
14488,2
14988,2
15027,2
2056,2
5868,2
6917,2
10140,2
10336,2
11492,2
11992,2
13342,2
14214,2
14297,2
14853,2
15050,2
15223,2
15276,2
2312,2
2882,2
2898,2
7234,2
10342,2
12349,2
12421,2
13859,2
14113,2
14132,2
14202,2
14308,2
14354,2
14404,2
14451,2
14852,2
14954,2
15245,2
15365,2
6692,2
7323,2
9533,2
10984,2
11278,2
11616,2
14278,2
14804,2
7212,2
11978,2
12896,2
13351,2
14903,2
14949,2
14978,2
15064,2
146,2
9117,2
11321,2
12631,2
12994,2
13036,2
14349,2
15208,2
15237,2
5864,2
7472,2
8683,2
10161,2
10650,2
14417,2
