passengerId,longestRun
9441,18
288,18
2857,17
1651,17
2867,17
2437,17
5668,17
3608,17
2068,17
2378,17
798,17
950,16
3173,16
1074,16
3309,16
92,16
437,16
3117,16
1337,16
4827,16
888,16
525,16
3078,16
1265,15
4774,15
4200,15
1769,15
4641,15
10461,15
1818,15
6027,15
1464,15
4816,15
1240,15
2734,15
1158,15
721,15
4552,15
10795,15
2717,15
3405,15
1598,15
8353,15
264,15
459,15
7837,15
5769,15
9410,15
5416,15
3802,15
2747,15
2518,15
4611,15
1482,15
5332,15
3409,15
2065,15
6777,15
4335,15
2969,15
3837,15
407,15
7810,14
613,14
3436,14
5447,14
210,14
1276,14
3279,14
2789,14
7877,14
435,14
3453,14
631,14
6365,14
972,14
1242,14
139,14
479,14
10569,14
7581,14
2485,14
5716,14
4034,14
1733,14
8679,14
4441,14
1263,14
1800,14
5043,14
1248,14
5760,14
5423,14
290,14
813,14
4080,14
664,14
6052,14
1673,14
391,14
5711,14
1581,14
6001,14
9252,14
2251,14
4379,14
11198,14
4082,14
2408,14
335,14
1562,14
662,14
5012,14
3472,14
3924,14
8045,14
276,14
4854,14
8981,14
5073,14
18,14
1246,14
5380,14
5544,14
2511,14
